scooter, user, mechanic, complainTime, repaireTime,
574,1000274,78849393673150838933,2017-01-01T19:40:36,2017-01-02T01:37:45
510,426,64558523381191040456,2017-01-01T22:00:00,2017-01-02T01:43:42
408,142,2492387079526083017,2017-01-01T12:53:03,2017-01-02T02:37:01
479,1000191,78849393673150838933,2017-01-01T08:20:56,2017-01-02T03:56:31
487,1000446,13532429951152526852,2017-01-01T09:32:13,2017-01-02T04:00:05
70,1000065,64153067310861774161,2017-01-01T09:26:06,2017-01-02T04:13:54
454,1000321,2492387079526083017,2017-01-01T08:35:42,2017-01-02T05:27:19
144,64,64558523381191040456,2017-01-01T11:29:44,2017-01-02T06:28:08
164,327,45341287488435633628,2017-01-01T15:15:05,2017-01-02T06:46:50
489,388,13606396145103915048,2017-01-01T18:29:27,2017-01-02T22:28:17
64,1000168,2492387079526083017,2017-01-01T08:38:40,2017-01-02T23:25:15
273,291,45341287488435633628,2017-01-01T12:33:55,2017-01-03T00:30:45
580,1000508,13532429951152526852,2017-01-01T12:22:59,2017-01-03T01:23:54
151,1000266,45341287488435633628,2017-01-02T10:38:21,2017-01-03T01:35:10
457,1000070,13606396145103915048,2017-01-01T23:46:29,2017-01-03T02:02:17
297,1000085,64558523381191040456,2017-01-02T18:14:38,2017-01-03T02:02:23
494,202,13532429951152526852,2017-01-01T18:30:55,2017-01-03T02:05:11
565,160,64558523381191040456,2017-01-01T12:18:26,2017-01-03T03:25:36
210,1000299,64558523381191040456,2017-01-01T15:30:44,2017-01-03T04:06:58
277,80,78849393673150838933,2017-01-02T14:00:02,2017-01-03T04:15:41
331,1000042,13606396145103915048,2017-01-02T21:34:56,2017-01-03T04:25:25
511,230,45341287488435633628,2017-01-02T16:24:39,2017-01-03T05:24:59
384,1000381,2492387079526083017,2017-01-01T18:04:19,2017-01-03T05:26:20
254,91,64153067310861774161,2017-01-02T09:47:38,2017-01-03T06:46:56
237,1000013,13532429951152526852,2017-01-02T09:06:32,2017-01-03T22:00:17
526,491,64153067310861774161,2017-01-01T14:12:36,2017-01-03T22:02:55
167,1000362,64558523381191040456,2017-01-02T17:06:55,2017-01-03T22:09:27
342,1000064,13606396145103915048,2017-01-02T15:11:57,2017-01-03T23:06:57
129,175,2492387079526083017,2017-01-01T15:15:21,2017-01-03T23:22:37
535,338,64153067310861774161,2017-01-02T17:54:51,2017-01-03T23:33:19
203,1000103,64558523381191040456,2017-01-01T12:06:07,2017-01-03T23:58:25
426,368,64153067310861774161,2017-01-03T09:29:28,2017-01-04T00:03:51
72,466,64153067310861774161,2017-01-03T19:40:02,2017-01-04T00:06:46
201,138,13532429951152526852,2017-01-03T17:13:01,2017-01-04T00:15:18
172,1000475,45341287488435633628,2017-01-03T13:04:45,2017-01-04T00:18:06
262,1000229,13606396145103915048,2017-01-03T14:28:52,2017-01-04T00:24:27
439,521,13532429951152526852,2017-01-02T11:05:53,2017-01-04T00:37:45
265,1000469,13606396145103915048,2017-01-02T11:22:08,2017-01-04T00:42:00
402,1000230,78849393673150838933,2017-01-03T08:20:57,2017-01-04T00:42:49
412,1000116,13606396145103915048,2017-01-03T08:22:47,2017-01-04T00:58:25
499,148,64558523381191040456,2017-01-01T17:46:45,2017-01-04T02:07:07
